scenario,date,cash,position_value,total_equity,turnover,cum_return
ma120_cash_top3,2025-10-27,2.278829924762249e-07,1092821.760309646,1092821.7603098738,1.9626204037683503,0.0928217603098737
ma120_cash_top3,2025-10-28,2.278922881769604e-07,1094680.7897902643,1094680.7897904925,0.0,0.0946807897904922
ma120_cash_top3,2025-10-29,2.27901584256882e-07,1119725.3082309333,1119725.3082311612,0.0,0.1197253082311611
ma120_cash_top3,2025-10-30,2.2791088071600505e-07,1098194.3758228885,1098194.3758231164,0.0,0.0981943758231163
ma120_cash_top3,2025-10-31,2.279201775543451e-07,1059176.727491972,1059176.7274922,0.0,0.0591767274921999
ma120_cash_top3,2025-11-03,2.2794807034482202e-07,1081654.4577230194,1081654.4577232474,0.0,0.0816544577232474
ma120_cash_top3,2025-11-04,2.279573687001847e-07,1051894.296316729,1051894.2963169569,0.0,0.0518942963169568
ma120_cash_top3,2025-11-05,2.2796666743484173e-07,1036941.301952584,1036941.301952812,0.0,0.0369413019528119
ma120_cash_top3,2025-11-06,2.279759665488086e-07,1067328.787848865,1067328.7878490926,0.0,0.0673287878490926
ma120_cash_top3,2025-11-07,2.279852660421008e-07,1053682.3164576387,1053682.3164578667,0.0,0.0536823164578665
ma120_cash_top3,2025-11-10,2.249144017696381e-07,1026063.0290188948,1026063.0290191196,2.06440539339076,0.0260630290191197
ma120_cash_top3,2025-11-11,2.2492357637695402e-07,1023575.0407721002,1023575.0407723252,0.0,0.0235750407723251
ma120_cash_top3,2025-11-12,2.2493275135851645e-07,1000429.1332628228,1000429.1332630478,0.0,0.0004291332630477
ma120_cash_top3,2025-11-13,2.249419267143406e-07,1060859.8785158866,1060859.8785161115,0.0,0.0608598785161116
ma120_cash_top3,2025-11-14,2.2495110244444175e-07,1033405.0266198284,1033405.0266200532,0.0,0.0334050266200534
ma120_cash_top3,2025-11-17,2.2497863188055994e-07,1041913.0301110836,1041913.0301113088,0.0,0.0419130301113086
ma120_cash_top3,2025-11-18,2.2498780910792174e-07,994690.921830449,994690.921830674,0.0,-0.0053090781693259
ma120_cash_top3,2025-11-19,2.2499698670963689e-07,997561.5377787788,997561.537779004,0.0,-0.002438462220996
ma120_cash_top3,2025-11-20,2.250061646857207e-07,978504.38422057,978504.3842207952,0.0,-0.0214956157792048
ma120_cash_top3,2025-11-21,2.2501534303618835e-07,922168.4338471468,922168.433847372,0.0,-0.0778315661526281
ma120_cash_top3,2025-11-24,9.88620740827173e-10,919187.6269713482,919187.6269713492,0.0030491482630949,-0.0808123730286508
ma120_cash_top3,2025-11-25,9.886610682006543e-10,941171.0581628148,941171.0581628156,0.0,-0.0588289418371843
ma120_cash_top3,2025-11-26,9.887013972191519e-10,946789.307975811,946789.307975812,0.0,-0.0532106920241881
ma120_cash_top3,2025-11-27,9.887417278827327e-10,946638.3750716558,946638.3750716568,0.0,-0.0533616249283431
ma120_cash_top3,2025-11-28,9.887820601914636e-10,959839.2651066696,959839.2651066708,0.0,-0.0401607348933292
ma120_cash_top3,2025-12-01,9.889030669892303e-10,963096.4325171032,963096.432517104,0.0,-0.0369035674828959
ma120_cash_top3,2025-12-02,9.889434058792335e-10,947683.4428654274,947683.4428654284,0.0,-0.0523165571345717
ma120_cash_top3,2025-12-03,9.889837464147231e-10,935258.6239274197,935258.6239274204,0.0,-0.0647413760725795
ma120_cash_top3,2025-12-04,9.890240885957656e-10,941113.0013256366,941113.0013256376,0.0,-0.0588869986743624
ma120_cash_top3,2025-12-05,9.890644324224282e-10,949953.5993192672,949953.5993192684,0.0,-0.0500464006807317
ma120_cash_top3,2025-12-08,2.0168954506516457e-07,984552.7769036016,984552.7769038032,1.9301553929534525,-0.0154472230961967
ma120_cash_top3,2025-12-09,2.016977722945512e-07,992683.3940635164,992683.394063718,0.0,-0.0073166059362819
ma120_cash_top3,2025-12-10,2.0170599985953922e-07,1002944.367048726,1002944.3670489276,0.0,0.0029443670489277
ma120_cash_top3,2025-12-11,2.017142277601424e-07,972580.562450451,972580.5624506528,0.0,-0.0274194375493472
ma120_cash_top3,2025-12-12,2.0172245599637446e-07,985500.3468767144,985500.346876916,0.0,-0.0144996531230838
ma120_cash_top3,2025-12-15,2.017471427189804e-07,969305.345292293,969305.3452924947,0.0,-0.0306946547075052
ma120_cash_top3,2025-12-16,2.0175537229786466e-07,943942.7867728332,943942.786773035,0.0,-0.056057213226965
ma120_cash_top3,2025-12-17,2.0176360221244618e-07,986676.0962013355,986676.0962015372,0.0,-0.0133239037984627
ma120_cash_top3,2025-12-18,2.017718324627387e-07,975131.5650155722,975131.565015774,0.0,-0.0248684349842259
ma120_cash_top3,2025-12-19,2.017800630487559e-07,987743.0969909952,987743.096991197,0.0,-0.012256903008803
ma120_cash_top3,2025-12-22,1.5337718650698662e-08,1022210.2748519784,1022210.2748519938,0.0358626985991464,0.0222102748519936
ma120_cash_top3,2025-12-23,1.5338344300032972e-08,1018128.0559557412,1018128.0559557568,0.0,0.0181280559557566
