date,cash,position_value,total_equity,cum_return
2025-03-18,0.0,890108.6244933223,890108.6244933223,-0.10989137550667771
2025-03-19,0.0,883126.2748413347,883126.2748413347,-0.11687372515866534
2025-03-20,0.0,878111.8113235314,878111.8113235314,-0.12188818867646856
2025-03-21,0.0,858084.3006957454,858084.3006957454,-0.14191569930425463
2025-03-24,0.0,867628.4620272083,867628.4620272083,-0.13237153797279166
2025-03-25,0.0,849760.0802935088,849760.0802935088,-0.1502399197064912
2025-03-26,0.0,850489.3050228554,850489.3050228554,-0.14951069497714464
2025-03-27,0.0,855677.7375285878,855677.7375285878,-0.14432226247141222
2025-03-28,0.0,844432.74388636,844432.74388636,-0.15556725611364008
2025-03-31,0.0,854556.5607593578,854556.5607593578,-0.1454434392406423
2025-04-01,0.0,854728.9334005065,854728.9334005065,-0.14527106659949351
2025-04-02,0.0,852511.3258175044,852511.3258175044,-0.14748867418249556
2025-04-03,0.0,843192.552842248,843192.552842248,-0.15680744715775197
2025-04-07,0.0,753550.3377428453,753550.3377428453,-0.2464496622571547
2025-04-08,0.0,760661.6134941805,760661.6134941805,-0.2393383865058195
2025-04-09,0.0,792293.3172873845,792293.3172873845,-0.2077066827126155
2025-04-10,0.0,808443.4563209692,808443.4563209692,-0.19155654367903086
2025-04-11,0.0,846393.0594202356,846393.0594202356,-0.15360694057976443
2025-04-14,0.0,845540.5743554723,845540.5743554723,-0.15445942564452764
2025-04-15,0.0,835666.8753910753,835666.8753910753,-0.16433312460892469
2025-04-16,0.0,843521.3099815954,843521.3099815954,-0.15647869001840464
2025-04-17,0.0,847769.7580749633,847769.7580749633,-0.15223024192503665
2025-04-18,0.0,839026.0348906777,839026.0348906777,-0.16097396510932238
2025-04-21,0.0,846127.1443132062,846127.1443132062,-0.15387285568679376
2025-04-22,0.0,844658.3931656036,844658.3931656036,-0.15534160683439635
2025-04-23,0.0,843532.218971552,843532.218971552,-0.15646778102844805
2025-04-24,0.0,835122.9738004751,835122.9738004751,-0.16487702619952482
2025-04-25,0.0,832740.7778540496,832740.7778540496,-0.16725922214595046
2025-04-28,0.0,839598.2488800451,839598.2488800451,-0.16040175111995492
2025-04-29,0.0,836999.7939775984,836999.7939775984,-0.16300020602240162
2025-04-30,0.0,819795.7036409216,819795.7036409216,-0.18020429635907842
2025-05-06,0.0,818340.3704975841,818340.3704975841,-0.18165962950241588
2025-05-07,0.0,830429.05840007,830429.05840007,-0.16957094159993003
2025-05-08,0.0,839161.740074253,839161.740074253,-0.16083825992574707
2025-05-09,0.0,849927.5405766427,849927.5405766427,-0.15007245942335723
2025-05-12,0.0,852521.5776420187,852521.5776420187,-0.14747842235798136
2025-05-13,0.0,864793.0241148508,864793.0241148508,-0.13520697588514918
2025-05-14,0.0,872344.535240494,872344.535240494,-0.12765546475950607
2025-05-15,0.0,871005.5116830616,871005.5116830616,-0.12899448831693838
2025-05-16,0.0,863034.1970102786,863034.1970102786,-0.13696580298972139
2025-05-19,0.0,859836.3972242896,859836.3972242896,-0.14016360277571038
2025-05-20,0.0,863034.1970102786,863034.1970102786,-0.13696580298972139
2025-05-21,0.0,868148.9761305327,868148.9761305327,-0.13185102386946734
2025-05-22,0.0,876321.2626536179,876321.2626536179,-0.12367873734638213
2025-05-23,0.0,868647.318991352,868647.318991352,-0.13135268100864805
2025-05-26,5.684341886080802e-14,861455.4792798704,861455.4792798704,-0.13854452072012957
2025-05-27,5.684341886080802e-14,866631.1544047085,866631.1544047085,-0.1333688455952915
2025-05-28,5.684341886080802e-14,865449.7941231972,865449.7941231972,-0.13455020587680278
2025-05-29,5.684341886080802e-14,864631.7430163086,864631.7430163086,-0.13536825698369137
2025-05-30,5.684341886080802e-14,871207.456906374,871207.456906374,-0.1287925430936261
2025-06-03,5.684341886080802e-14,886091.323861102,886091.323861102,-0.11390867613889799
2025-06-04,5.684341886080802e-14,887744.8110397133,887744.8110397133,-0.11225518896028663
2025-06-05,5.684341886080802e-14,881593.5770857185,881593.5770857185,-0.1184064229142815
2025-06-06,5.684341886080802e-14,883094.4607452386,883094.4607452386,-0.11690553925476144
2025-06-09,5.684341886080802e-14,885653.0787398975,885653.0787398975,-0.11434692126010249
2025-06-10,5.684341886080802e-14,889827.4479399779,889827.4479399779,-0.11017255206002219
2025-06-11,5.684341886080802e-14,892566.1979807528,892566.1979807528,-0.10743380201924724
2025-06-12,5.684341886080802e-14,896381.1558008835,896381.1558008835,-0.10361884419911649
2025-06-13,5.684341886080802e-14,889210.0336622556,889210.0336622556,-0.1107899663377444
2025-06-16,5.684341886080802e-14,899938.1107232417,899938.1107232417,-0.1000618892767583
